"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Gurriel Jr., Yuli",493329,2023,39,0.359,0.114,0.272
"Allen, Nick",669397,2023,24,0.287,0.066,0.253
"Gorman, Nolan",669357,2023,23,0.478,0.242,0.296
"Lowe, Brandon",664040,2023,28,0.443,0.212,0.275
"Tucker, Cole",657061,2023,26,0.5,0,0.667
"Adrianza, Ehire",501303,2023,33,0,0,0
"Stevenson, Cal",670276,2023,26,0,0,0
"Lopez, Irving",676761,2023,28,0,0,0
"Soto, Livan",670869,2023,23,0.222,0,0.286
"Cabrera, Miguel",408234,2023,40,0.353,0.096,0.317
"Kohlwey, Taylor",670128,2023,28,0.154,0,0.25
"Pi?a, Manny",444489,2023,36,0.5,0.25,0.25
"Tromp, Chadwick",644433,2023,28,0.188,0.063,0.222
"P?rez, Roberto",547379,2023,34,0.133,0,0.222
"Moustakas, Mike",519058,2023,34,0.392,0.145,0.296
"Freeman, Freddie",518692,2023,33,0.567,0.236,0.37
"Wilson, Weston",642215,2023,28,0.5,0.187,0.4
"O'Keefe, Brian",657247,2023,29,0.211,0.106,0.167
"Salazar, C?sar",663967,2023,27,0.111,0,0.167
"O'Hearn, Ryan",656811,2023,29,0.48,0.191,0.34
"Serven, Brian",661531,2023,28,0.174,0.044,0.231
"Toro, Abraham",647351,2023,26,0.778,0.334,0.545
"Querecuto, Juniel",578570,2023,30,0.15,0.05,0.143
"Hummel, Cooper",669450,2023,28,0.13,0.043,0.143
"Allen, Greg",656185,2023,30,0.478,0.261,0.333
"McNeil, Jeff",643446,2023,31,0.378,0.108,0.288
"Lester, Josh",623507,2023,28,0.182,0,0.267
"D?az, Isan",656371,2023,27,0.042,0,0.067
"Burdick, Peyton",680814,2023,26,0.333,0.151,0.357
"Smith-Njigba, Canaan",675986,2023,24,0.219,0.094,0.235
"Guthrie, Dalton",656495,2023,27,0.208,0.041,0.235
"Heyward, Jason",518792,2023,33,0.473,0.204,0.291
"Burleson, Alec",676475,2023,24,0.39,0.146,0.261
"Stowers, Kyle",669065,2023,25,0.067,0,0.111
"Kennedy, Buddy",671083,2023,24,0.208,0.041,0.222
"Meadows, Austin",640457,2023,28,0.286,0.048,0.278
"Lukes, Nathan",664770,2023,28,0.308,0.116,0.278
"Tena, Jos?",677588,2023,22,0.29,0.064,0.389
"Madris, Bligh",676632,2023,27,0.192,0.038,0.211
"Donovan, Brendan",680977,2023,26,0.422,0.138,0.311
"Rizzo, Anthony",519203,2023,33,0.378,0.134,0.298
"Luciano, Marco",682617,2023,21,0.308,0.077,0.409
"Le?n, Sandy",506702,2023,34,0.195,0.049,0.286
"Fitzgerald, Tyler",666149,2023,25,0.469,0.25,0.25
"Hamilton, David",666152,2023,25,0.182,0.061,0.174
"Grandal, Yasmani",518735,2023,34,0.339,0.105,0.284
"Rosario, Eguy",666703,2023,23,0.5,0.25,0.318
"Adams, Jordyn",677941,2023,23,0.128,0,0.208
"Hopkins, TJ",686759,2023,26,0.171,0,0.292
"Paris, Kyren",677347,2023,21,0.1,0,0.174
"Trammell, Taylor",666211,2023,25,0.326,0.196,0.143
"Bouchard, Sean",656248,2023,27,0.684,0.368,0.381
"Suwinski, Jack",669261,2023,24,0.454,0.23,0.29
"Huff, Sam",669087,2023,25,0.512,0.256,0.348
"Mart?nez, J.P.",679881,2023,27,0.325,0.1,0.32
"Herrera, Iv?n",671056,2023,23,0.351,0.054,0.423
"Kessinger, Grae",666197,2023,25,0.325,0.125,0.259
"Cabbage, Trey",663550,2023,26,0.321,0.113,0.37
"Stevenson, Andrew",664057,2023,29,0.216,0.027,0.241
"Young, Jared",676724,2023,27,0.465,0.279,0.214
"Meckler, Wade",685133,2023,23,0.25,0.018,0.419
"Diaz, Yainer",673237,2023,24,0.538,0.256,0.292
"Eaton, Nate",681987,2023,26,0.075,0,0.125
"Arraez, Luis",650333,2023,26,0.469,0.115,0.362
"Ram?rez, Jos?",608070,2023,30,0.475,0.193,0.285
"Ruf, Darin",573131,2023,36,0.286,0.062,0.333
"Adell, Jo",666176,2023,24,0.448,0.241,0.3
"Alfaro, Jorge",595751,2023,30,0.292,0.146,0.188
"McCormick, Chas",676801,2023,28,0.489,0.216,0.331
"Duran, Ezequiel",677649,2023,24,0.443,0.167,0.358
"Altuve, Jose",514888,2023,33,0.522,0.211,0.348
"Ramos, Heliot",671218,2023,23,0.304,0.125,0.257
"Hill, Derek",656537,2023,27,0.191,0.021,0.222
"Olivares, Edward",658668,2023,27,0.452,0.189,0.289
"Vosler, Jason",613564,2023,29,0.371,0.21,0.206
"Reyes, Franmil",614177,2023,27,0.288,0.102,0.257
"Thomas, Alek",677950,2023,23,0.374,0.144,0.273
"Wade, Tyler",642180,2023,28,0.314,0.059,0.342
"P?rez, Carlos",656024,2023,26,0.347,0.143,0.243
"McCutchen, Andrew",457705,2023,36,0.397,0.141,0.312
"Thompson, Bubba",669352,2023,25,0.283,0.113,0.237
"Hilliard, Sam",656541,2023,29,0.431,0.195,0.389
"Cowser, Colton",681297,2023,23,0.148,0.033,0.175
"Nido, Tom?s",621512,2023,29,0.125,0,0.179
"Florial, Estevan",664314,2023,25,0.311,0.081,0.333
"Frazier, Clint",640449,2023,28,0.242,0.045,0.302
"Busch, Michael",683737,2023,25,0.292,0.125,0.227
"Call, Alex",669743,2023,28,0.307,0.107,0.23
"Mathias, Mark",664029,2023,28,0.258,0.032,0.298
"Capel, Conner",668843,2023,26,0.329,0.069,0.396
"Conforto, Michael",624424,2023,30,0.384,0.145,0.284
"Joe, Connor",656582,2023,30,0.421,0.174,0.311
"Hensley, David",682073,2023,27,0.167,0.048,0.188
"Casas, Triston",671213,2023,23,0.49,0.227,0.317
"Dixon, Brandon",641525,2023,31,0.329,0.126,0.292
"Luplow, Jordan",656669,2023,29,0.325,0.117,0.292
"Acu?a Jr., Ronald",660670,2023,25,0.596,0.259,0.338
"Langeliers, Shea",669127,2023,25,0.413,0.208,0.246
"Blackmon, Charlie",453568,2023,36,0.44,0.161,0.307
"Abreu, Wilyer",677800,2023,24,0.474,0.158,0.431
"Velazquez, Andrew",623205,2023,28,0.284,0.111,0.245
"Stefanic, Michael",683021,2023,27,0.355,0.065,0.333
"Marlowe, Cade",687799,2023,26,0.42,0.181,0.346
"Bruj?n, Vidal",660644,2023,25,0.197,0.026,0.236
"Martini, Nick",605361,2023,33,0.583,0.319,0.255
"Chavis, Michael",656308,2023,27,0.341,0.099,0.357
"Pache, Cristian",665506,2023,24,0.417,0.179,0.327
"Mervis, Matt",670223,2023,25,0.289,0.122,0.218
"Kwan, Steven",680757,2023,25,0.37,0.102,0.294
"Walsh, Jared",665120,2023,29,0.279,0.154,0.164
"Kieboom, Carter",666198,2023,25,0.368,0.161,0.25
"Basabe, Osleivis",678545,2023,22,0.31,0.092,0.295
"Davis, Jonathan",641505,2023,31,0.378,0.134,0.328
"Contreras, Willson",575929,2023,31,0.467,0.203,0.311
"Edwards, Xavier",669364,2023,23,0.333,0.038,0.359
"Alvarez, Yordan",670541,2023,26,0.583,0.29,0.306
"Williams, Alika",675961,2023,24,0.248,0.05,0.303
"Barnhart, Tucker",571466,2023,32,0.257,0.055,0.313
"Singleton, Jon",572138,2023,31,0.264,0.099,0.194
"Nevin, Tyler",663527,2023,26,0.316,0.116,0.246
"Choi, Ji Man",596847,2023,32,0.385,0.222,0.169
"Fry, David",681807,2023,27,0.416,0.178,0.299
"Alberto, Hanser",593643,2023,30,0.39,0.17,0.224
"Peralta, David",444482,2023,35,0.381,0.122,0.296
"Chang, Yu",644374,2023,27,0.352,0.19,0.169
"Jung, Josh",673962,2023,25,0.467,0.201,0.34
"Kemp, Tony",643393,2023,31,0.304,0.095,0.221
"Aguilar, Jes?s",542583,2023,33,0.385,0.164,0.261
"Haggerty, Sam",664059,2023,29,0.341,0.088,0.301
"Thompson, Trayce",572204,2023,32,0.294,0.131,0.271
"Muncy, Max",571970,2023,32,0.475,0.263,0.221
"Villar, David",681584,2023,26,0.315,0.17,0.173
"Gonzales, Nick",693304,2023,24,0.348,0.139,0.278
"Soderstrom, Tyler",691016,2023,21,0.24,0.08,0.212
"Palacios, Richie",680700,2023,26,0.516,0.258,0.234
"Stubbs, Garrett",596117,2023,30,0.283,0.079,0.265
"Wade Jr., LaMonte",664774,2023,29,0.417,0.161,0.29
"Harper, Bryce",547180,2023,30,0.499,0.206,0.352
"Marte, Noelvi",682622,2023,21,0.456,0.14,0.384
"Butler, Lawrence",671732,2023,22,0.341,0.13,0.259
"Flores, Wilmer",527038,2023,31,0.509,0.225,0.286
"Lowe, Josh",666139,2023,25,0.5,0.208,0.357
"Toglia, Michael",669911,2023,24,0.284,0.121,0.218
"Batten, Matthew",676946,2023,28,0.358,0.1,0.33
"Wynns, Austin",642851,2023,32,0.277,0.069,0.286
"India, Jonathan",663697,2023,26,0.407,0.163,0.281
"Drury, Brandon",592273,2023,30,0.497,0.235,0.308
"Perkins, Blake",663368,2023,26,0.35,0.133,0.29
"Ruiz, Esteury",665923,2023,24,0.345,0.091,0.315
"Realmuto, J.T.",592663,2023,32,0.452,0.2,0.307
"Schoop, Jonathan",570731,2023,31,0.272,0.059,0.287
"Ohtani, Shohei",660271,2023,28,0.654,0.35,0.342
"Wallach, Chad",595453,2023,31,0.376,0.179,0.258
"Valdez, Enmanuel",665839,2023,24,0.453,0.187,0.323
"Nola, Austin",543592,2023,33,0.192,0.046,0.184
"Murphy, Tom",608596,2023,32,0.538,0.248,0.358
"Ur?as, Luis",649966,2023,26,0.299,0.105,0.25
"Pollock, AJ",572041,2023,35,0.308,0.143,0.173
"Story, Trevor",596115,2023,30,0.316,0.113,0.29
"Rosario, Eddie",592696,2023,31,0.45,0.195,0.3
"Garcia, Maikel",672580,2023,23,0.358,0.086,0.344
"Narv?ez, Omar",553882,2023,31,0.297,0.086,0.245
"Heim, Jonah",641680,2023,28,0.438,0.18,0.289
"Zavala, Seby",664874,2023,29,0.314,0.143,0.23
"Vel?zquez, Nelson",676369,2023,24,0.586,0.351,0.221
"Vierling, Matt",663837,2023,26,0.388,0.127,0.321
"Calhoun, Willie",641432,2023,28,0.403,0.164,0.245
"D?az, Elias",553869,2023,32,0.409,0.142,0.324
"Dickerson, Corey",572816,2023,34,0.354,0.104,0.296
"Donaldson, Josh",518626,2023,37,0.418,0.266,0.115
"Miranda, Jose",669304,2023,25,0.303,0.092,0.235
"LeMahieu, DJ",518934,2023,34,0.39,0.147,0.295
"Renfroe, Hunter",592669,2023,31,0.416,0.183,0.27
"Estrada, Thairo",642731,2023,27,0.416,0.145,0.331
"Brennan, Will",686823,2023,25,0.356,0.09,0.296
"Calhoun, Kole",594777,2023,35,0.376,0.159,0.241
"Straw, Myles",664702,2023,28,0.297,0.059,0.295
"Franco, Wander",677551,2023,22,0.475,0.194,0.297
"Volpe, Anthony",683011,2023,22,0.383,0.174,0.259
"Peraza, Oswald",672724,2023,23,0.272,0.081,0.256
"Delay, Jason",641511,2023,28,0.347,0.096,0.333
"Carpenter, Matt",572761,2023,37,0.319,0.143,0.231
"Freeman, Tyler",671289,2023,24,0.366,0.124,0.275
"Slater, Austin",596103,2023,30,0.4,0.13,0.369
"Hays, Austin",669720,2023,27,0.444,0.169,0.345
"Smith, Will",669257,2023,28,0.438,0.177,0.277
"B?ez, Javier",595879,2023,30,0.325,0.103,0.274
"Wallner, Matt",670242,2023,25,0.507,0.258,0.328
"Paredes, Isaac",670623,2023,24,0.488,0.238,0.257
"Arcia, Orlando",606115,2023,28,0.42,0.156,0.301
"Peguero, Liover",678894,2023,22,0.374,0.137,0.32
"Trevino, Jose",624431,2023,30,0.312,0.102,0.221
"Rodgers, Brendan",663898,2023,26,0.388,0.13,0.316
"McGuire, Reese",624512,2023,28,0.358,0.091,0.366
"Hayes, Ke'Bryan",663647,2023,26,0.453,0.182,0.315
"Rodr?guez, Endy",682848,2023,23,0.328,0.108,0.281
"Adames, Willy",642715,2023,27,0.407,0.19,0.259
"Garc?a, Luis",671277,2023,23,0.385,0.119,0.286
"Seager, Corey",608369,2023,29,0.623,0.296,0.34
"Varsho, Daulton",662139,2023,26,0.389,0.169,0.256
"Longoria, Evan",446334,2023,37,0.422,0.199,0.277
"Dub?n, Mauricio",643289,2023,28,0.411,0.133,0.308
"Naylor, Bo",666310,2023,23,0.47,0.233,0.267
"Votto, Joey",458015,2023,39,0.433,0.231,0.212
"Smith, Pavin",656976,2023,27,0.325,0.137,0.209
"Henderson, Gunnar",683002,2023,22,0.489,0.234,0.306
"Vientos, Mark",668901,2023,23,0.367,0.156,0.264
"Hedges, Austin",595978,2023,30,0.227,0.043,0.236
"Castro, Rodolfo",666801,2023,24,0.322,0.111,0.284
"Westburg, Jordan",676059,2023,24,0.404,0.144,0.336
"Davis, Henry",680779,2023,23,0.351,0.138,0.273
"Rosario, Amed",642708,2023,27,0.378,0.115,0.314
"Short, Zack",670097,2023,28,0.339,0.135,0.255
"Hampson, Garrett",641658,2023,28,0.38,0.104,0.379
"Wisdom, Patrick",621550,2023,31,0.5,0.295,0.237
"Mancini III, Trey",641820,2023,31,0.336,0.102,0.327
"Bell, Josh",605137,2023,30,0.419,0.172,0.287
"Lewis, Royce",668904,2023,24,0.548,0.239,0.354
"Knizner, Andrew",668800,2023,28,0.424,0.183,0.288
"Alonso, Pete",624413,2023,28,0.504,0.287,0.205
"Bellinger, Cody",641355,2023,27,0.525,0.218,0.319
"Fermin, Freddy",666023,2023,28,0.461,0.18,0.323
"O'Neill, Tyler",641933,2023,28,0.403,0.172,0.284
"Carlson, Dylan",666185,2023,24,0.333,0.114,0.256
"Higashioka, Kyle",543309,2023,33,0.413,0.177,0.292
"Montero, Elehuris",660707,2023,24,0.426,0.183,0.352
"Happ, Ian",664023,2023,28,0.431,0.183,0.299
"D?az, Yandy",650490,2023,31,0.522,0.192,0.367
"Stallings, Jacob",607732,2023,33,0.286,0.095,0.249
"Goldschmidt, Paul",502671,2023,35,0.447,0.179,0.327
"Thaiss, Matt",642136,2023,28,0.34,0.126,0.272
"Tatis Jr., Fernando",665487,2023,24,0.449,0.192,0.299
"Vaughn, Andrew",683734,2023,25,0.429,0.171,0.299
"Benson, Will",666181,2023,25,0.498,0.223,0.391
"Reynolds, Bryan",668804,2023,28,0.46,0.197,0.304
"Santander, Anthony",623993,2023,28,0.472,0.215,0.299
"Gelof, Zack",680869,2023,23,0.504,0.237,0.331
"Soto, Juan",665742,2023,24,0.519,0.244,0.296
"Lopez, Nicky",670032,2023,28,0.307,0.076,0.276
"Vogelbach, Daniel",596129,2023,30,0.404,0.171,0.282
"Palacios, Joshua",641943,2023,27,0.413,0.174,0.269
"Carroll, Corbin",682998,2023,22,0.506,0.221,0.325
"Pe?a, Jeremy",665161,2023,25,0.381,0.118,0.323
"Abrams, CJ",682928,2023,22,0.412,0.167,0.279
"Gim?nez, Andr?s",665926,2023,24,0.399,0.148,0.289
"Merrifield, Whit",593160,2023,34,0.382,0.11,0.313
"Sabol, Blake",666165,2023,25,0.394,0.159,0.33
"Espinal, Santiago",669289,2023,28,0.335,0.087,0.285
"Matos, Luis",682641,2023,21,0.342,0.092,0.285
"Waters, Drew",671221,2023,24,0.377,0.149,0.321
"Newman, Kevin",621028,2023,29,0.364,0.111,0.28
"Moniak, Mickey",666160,2023,25,0.495,0.215,0.397
"Buxton, Byron",621439,2023,29,0.438,0.231,0.253
"Belt, Brandon",474832,2023,35,0.49,0.236,0.37
"d'Arnaud, Travis",518595,2023,34,0.397,0.172,0.258
"Bichette, Bo",666182,2023,25,0.475,0.169,0.355
"Devers, Rafael",646240,2023,26,0.5,0.229,0.292
"Biggio, Cavan",624415,2023,28,0.37,0.135,0.304
"Yoshida, Masataka",807799,2023,29,0.445,0.156,0.316
"Kirilloff, Alex",666135,2023,25,0.445,0.175,0.337
"Rivera, Emmanuel",656896,2023,27,0.358,0.097,0.313
"Lowe, Nathaniel",663993,2023,27,0.414,0.152,0.329
"Trout, Mike",545361,2023,31,0.49,0.227,0.335
"Crawford, Brandon",543063,2023,36,0.314,0.12,0.241
"Walker, Christian",572233,2023,32,0.497,0.239,0.272
"Marte, Ketel",606466,2023,29,0.485,0.209,0.3
"Arenado, Nolan",571448,2023,32,0.459,0.193,0.279
"Taylor, Chris",621035,2023,32,0.42,0.183,0.327
"Bohm, Alec",664761,2023,26,0.437,0.163,0.296
"France, Ty",664034,2023,28,0.366,0.116,0.294
"Neto, Zach",687263,2023,22,0.377,0.152,0.272
"Rogers, Jake",668670,2023,28,0.444,0.223,0.268
"Lindor, Francisco",596019,2023,29,0.47,0.216,0.277
"Polanco, Jorge",593871,2023,29,0.454,0.199,0.31
"Julks, Corey",667452,2023,27,0.352,0.107,0.306
"Monasterio, Andruw",655316,2023,26,0.348,0.089,0.326
"Rodr?guez, Julio",677594,2023,22,0.485,0.21,0.33
"Bethancourt, Christian",542194,2023,31,0.381,0.156,0.278
"Bryant, Kris",592178,2023,31,0.367,0.134,0.27
"Meneses, Joey",608841,2023,31,0.401,0.126,0.329
"Taylor, Michael A.",572191,2023,32,0.442,0.222,0.278
"Tellez, Rowdy",642133,2023,28,0.376,0.161,0.249
"Raley, Luke",670042,2023,28,0.49,0.241,0.33
"Miller, Owen",680911,2023,26,0.371,0.11,0.31
"Tucker, Kyle",663656,2023,26,0.517,0.233,0.289
"Bogaerts, Xander",593428,2023,30,0.44,0.155,0.319
"Chisholm Jr., Jazz",665862,2023,25,0.457,0.207,0.318
"Stott, Bryson",681082,2023,25,0.419,0.139,0.312
"Judge, Aaron",592450,2023,31,0.613,0.346,0.3
"Wong, Connor",657136,2023,27,0.385,0.15,0.341
"Albies, Ozzie",645277,2023,26,0.513,0.233,0.289
"Brown, Seth",664913,2023,30,0.405,0.183,0.27
"Baty, Brett",683146,2023,23,0.323,0.111,0.28
"V?zquez, Christian",543877,2023,32,0.318,0.095,0.279
"Stanton, Giancarlo",519317,2023,33,0.42,0.229,0.21
"Laureano, Ram?n",657656,2023,28,0.371,0.147,0.301
"Marte, Starling",516782,2023,34,0.324,0.076,0.303
"Torres, Gleyber",650402,2023,26,0.453,0.18,0.288
"Sheets, Gavin",657757,2023,27,0.331,0.128,0.222
"Madrigal, Nick",663611,2023,26,0.352,0.089,0.283
"Farmer, Kyle",571657,2023,32,0.408,0.152,0.311
"DeJong, Paul",657557,2023,29,0.355,0.148,0.264
"S?nchez, Jes?s",660821,2023,25,0.45,0.197,0.321
"Morel, Christopher",666624,2023,24,0.508,0.261,0.303
"Margot, Manuel",622534,2023,28,0.376,0.112,0.306
"Kiner-Falefa, Isiah",643396,2023,28,0.34,0.098,0.289
"Ur?as, Ram?n",602104,2023,29,0.375,0.111,0.355
"Jones, Jahmai",663330,2023,25,0.3,0.1,0.4
"Almonte, Abraham",501659,2023,34,0.133,0.066,0.143
"White, Eli",642201,2023,29,0.071,0,0.143
"Grossman, Robbie",543257,2023,33,0.394,0.156,0.292
