"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Castro, Willi",650489,2023,26,0.411,0.154,0.328
"Wall, Forrest",657088,2023,27,0.846,0.384,0.625
"Crow-Armstrong, Pete",691718,2023,21,0,0,0
"Bemboom, Anthony",621532,2023,33,0.182,0,0.222
"Canario, Alexander",672744,2023,23,0.647,0.353,0.5
"Bader, Harrison",664056,2023,29,0.348,0.116,0.261
"Marsh, Brandon",669016,2023,25,0.458,0.181,0.397
"Fraley, Jake",641584,2023,28,0.443,0.187,0.283
"Greene, Riley",682985,2023,22,0.447,0.159,0.384
"Kreidler, Ryan",668952,2023,25,0.111,0,0.182
"Williams, Luke",663897,2023,26,0.053,0,0.083
"Rios, Edwin",621458,2023,29,0.214,0.143,0.091
"Owings, Chris",572008,2023,31,0.16,0,0.308
"Gamel, Ben",592325,2023,31,0.267,0.067,0.231
"Capra, Vinny",681962,2023,26,0.222,0.055,0.231
"Camargo, Johan",622666,2023,29,0.222,0,0.286
"La Stella, Tommy",600303,2023,34,0.238,0.048,0.25
"Hern?ndez, Yonny",660634,2023,25,0.182,0.046,0.2
"Ellis, Drew",656403,2023,27,0.478,0.261,0.214
"Pederson, Joc",592626,2023,31,0.416,0.181,0.268
"Garlick, Kyle",664247,2023,31,0.429,0.25,0.2
"Moreno, Gabriel",672515,2023,23,0.408,0.124,0.338
"Alvarez, Francisco",682626,2023,21,0.437,0.228,0.222
"Murphy, Sean",669221,2023,28,0.478,0.227,0.286
"Witt Jr., Bobby",677951,2023,23,0.495,0.219,0.295
"Torrens, Luis",620443,2023,27,0.357,0.107,0.368
"Lawlar, Jordan",691783,2023,20,0.129,0,0.2
"Kjerstad, Heston",677008,2023,24,0.467,0.234,0.278
"Dalbec, Bobby",666915,2023,28,0.306,0.102,0.45
"Porter, Logan",682515,2023,27,0.323,0.129,0.263
"Peterson, Jace",607054,2023,33,0.307,0.096,0.27
"Dom?nguez, Jasson",691176,2023,20,0.677,0.419,0.211
"Millas, Drew",686452,2023,25,0.464,0.178,0.318
"Ortiz, Joey",687401,2023,24,0.242,0.03,0.28
"Thomas, Cody",642137,2023,28,0.381,0.143,0.375
"Cruz, Oneil",665833,2023,24,0.375,0.125,0.292
"Rutherford, Blake",666164,2023,26,0.171,0,0.24
"Blankenhorn, Travis",663905,2023,26,0.258,0.097,0.167
"Bregman, Alex",608324,2023,29,0.441,0.179,0.27
"Caminero, Junior",691406,2023,19,0.353,0.118,0.28
"Montes, Coco",663796,2023,26,0.316,0.132,0.24
"Ward, Taylor",621493,2023,29,0.421,0.168,0.284
"Lipcius, Andre",686531,2023,25,0.4,0.114,0.346
"Horwitz, Spencer",687462,2023,25,0.385,0.129,0.346
"Mercado, ?scar",640458,2023,28,0.387,0.097,0.333
"Phillips, Brett",621433,2023,29,0.333,0.158,0.333
"Haseley, Adam",656514,2023,27,0.278,0.056,0.286
"Johnson, Bryce",669369,2023,27,0.256,0.093,0.214
"Heineman, Tyler",623168,2023,32,0.316,0.079,0.3
"Lewis, Kyle",641786,2023,27,0.255,0.098,0.241
"Hoerner, Nico",663538,2023,26,0.383,0.1,0.312
"Kiermaier, Kevin",595281,2023,33,0.419,0.154,0.321
"Ib??ez, Andy",628451,2023,30,0.433,0.169,0.3
"DeLuca, Jonny",676356,2023,24,0.429,0.167,0.281
"Hall, Darick",669742,2023,27,0.241,0.074,0.229
"Lamb, Jake",571875,2023,32,0.353,0.137,0.265
"Locastro, Tim",641796,2023,30,0.393,0.161,0.344
"Martinez, J.D.",502110,2023,35,0.572,0.301,0.324
"Cooper, Garrett",643265,2023,32,0.419,0.168,0.324
"Carter, Evan",694497,2023,20,0.645,0.339,0.412
"Vavra, Terrin",679631,2023,26,0.245,0,0.324
"Solano, Donovan",456781,2023,35,0.391,0.109,0.366
"Rooker Jr., Brent",667670,2023,28,0.488,0.242,0.317
"Yepez, Juan",660766,2023,25,0.3,0.117,0.237
"Taylor, Samad",669392,2023,24,0.267,0.067,0.308
"Mitchell, Garrett",669003,2023,24,0.446,0.2,0.351
"Voit III, Luke",572228,2023,32,0.265,0.044,0.366
"Ara?z, Jonathan",660620,2023,24,0.288,0.152,0.132
"Cordero, Franchy",614173,2023,28,0.478,0.29,0.184
"Lee, Korey",686676,2023,24,0.138,0.061,0.091
"Ferm?n, Jos?",665877,2023,24,0.255,0.02,0.279
"Motter, Taylor",600301,2023,33,0.211,0.04,0.289
"Miller, Brad",543543,2023,33,0.339,0.125,0.244
"Beaty, Matt",607461,2023,30,0.295,0.065,0.298
"Clement, Ernie",676391,2023,27,0.5,0.12,0.391
"Goodman, Hunter",696100,2023,23,0.386,0.186,0.277
"Carpenter, Kerry",681481,2023,25,0.471,0.193,0.338
"Myers, Dane",667472,2023,27,0.358,0.089,0.354
"Rortvedt, Ben",666163,2023,25,0.221,0.103,0.128
"Mendick, Danny",664901,2023,29,0.277,0.092,0.224
"Andrus, Elvis",462101,2023,34,0.358,0.107,0.294
"Outman, James",681546,2023,26,0.437,0.189,0.343
"Loftin, Nick",679845,2023,24,0.435,0.112,0.392
"Gomes, Yan",543228,2023,35,0.408,0.141,0.309
"Brosseau, Mike",670712,2023,29,0.397,0.192,0.224
"Pereira, Everson",677592,2023,22,0.194,0.043,0.264
"Ramos, Henry",592656,2023,31,0.311,0.068,0.34
"Brantley Jr., Michael",488726,2023,36,0.426,0.148,0.255
"Semien, Marcus",543760,2023,32,0.478,0.202,0.291
"Dozier, Hunter",641531,2023,31,0.305,0.122,0.25
"Mullins II, Cedric",656775,2023,28,0.416,0.183,0.271
"Rocchio, Brayan",677587,2023,22,0.321,0.074,0.364
"Baker, Luken",663609,2023,26,0.314,0.105,0.302
"Rafaela, Ceddanne",678882,2023,22,0.386,0.145,0.333
"Marisnick, Jake",545350,2023,32,0.408,0.171,0.296
"Aranda, Jonathan",666018,2023,25,0.368,0.138,0.327
"Wells, Austin",669224,2023,23,0.486,0.257,0.226
"Gonzalez, Romy",663853,2023,26,0.376,0.182,0.273
"Turang, Brice",668930,2023,23,0.3,0.082,0.268
"Casali, Curt",592200,2023,34,0.2,0.025,0.246
"Rengifo, Luis",650859,2023,26,0.444,0.18,0.293
"Berti, Jon",542932,2023,33,0.405,0.111,0.349
"Grissom, Vaughn",687093,2023,22,0.347,0.067,0.344
"Mead, Curtis",678554,2023,22,0.349,0.096,0.328
"Walker, Jordan",691023,2023,21,0.445,0.169,0.331
"Daza, Yonathan",602074,2023,29,0.351,0.081,0.323
"Zunino, Mike",572287,2023,32,0.306,0.129,0.317
"Sullivan, Brett",664954,2023,29,0.284,0.074,0.258
"Grisham, Trent",663757,2023,26,0.352,0.154,0.264
"Bart, Joey",663698,2023,26,0.264,0.057,0.277
"Mountcastle, Ryan",663624,2023,26,0.452,0.182,0.315
"Hosmer, Eric",543333,2023,33,0.33,0.096,0.299
"Pinto, Ren?",650907,2023,26,0.456,0.204,0.317
"Garc?a, Avisa?l",541645,2023,32,0.315,0.13,0.258
"Bride, Jonah",681146,2023,27,0.205,0.035,0.221
"Mauricio, Ronny",677595,2023,22,0.347,0.099,0.338
"Pham, Tommy",502054,2023,35,0.446,0.19,0.3
"Andujar, Miguel",609280,2023,28,0.476,0.226,0.254
"Ram?rez, Harold",623912,2023,28,0.46,0.147,0.359
"Azocar, Jos?",640492,2023,27,0.363,0.132,0.292
"Fletcher, Dominic",666150,2023,25,0.441,0.14,0.377
"Schneider, Davis",676914,2023,24,0.603,0.327,0.369
"Kirk, Alejandro",672386,2023,24,0.358,0.108,0.265
"Rivas III, Alfonso",663845,2023,26,0.422,0.193,0.31
"Nootbaar, Lars",663457,2023,25,0.418,0.157,0.307
"Stephenson, Tyler",663886,2023,26,0.378,0.135,0.314
"Bradley Jr., Jackie",598265,2023,33,0.21,0.077,0.173
"Herrera, Jose",645444,2023,26,0.257,0.049,0.292
"Massey, Michael",686681,2023,25,0.381,0.152,0.261
"Davis, J.D.",605204,2023,30,0.412,0.164,0.32
"Fletcher, David",664058,2023,29,0.326,0.079,0.256
"Kepler, Max",596146,2023,30,0.484,0.224,0.288
"Myers, Wil",571976,2023,32,0.283,0.094,0.273
"Gordon, Nick",624503,2023,27,0.319,0.143,0.179
"Guillorme, Luis",641645,2023,28,0.327,0.103,0.291
"Ortega, Rafael",542364,2023,32,0.272,0.053,0.3
"Wisely, Brett",689172,2023,24,0.267,0.092,0.241
"Perdomo, Geraldo",672695,2023,23,0.359,0.113,0.295
"Grichuk, Randal",545341,2023,31,0.459,0.192,0.309
"Harrison, Josh",543281,2023,35,0.291,0.087,0.229
"McKenna, Ryan",663630,2023,26,0.361,0.107,0.354
"Young, Jacob",696285,2023,23,0.336,0.084,0.318
"Rojas, Miguel",500743,2023,34,0.322,0.086,0.255
"Meadows, Parker",678009,2023,23,0.368,0.136,0.302
"Moore, Dylan",664238,2023,30,0.428,0.221,0.28
"Smith, Kevin",675656,2023,26,0.326,0.141,0.253
"McKinney, Billy",641856,2023,28,0.406,0.179,0.274
"Barrero, Jose",676480,2023,25,0.323,0.105,0.307
"Schanuel, Nolan",694384,2023,21,0.33,0.055,0.326
"Chapman, Matt",656305,2023,30,0.424,0.184,0.319
"Burger, Jake",669394,2023,27,0.518,0.268,0.284
"Blanco, Dairon",680118,2023,30,0.452,0.194,0.33
"Amaya, Miguel",665804,2023,24,0.359,0.145,0.264
"Robles, Victor",645302,2023,26,0.364,0.065,0.36
"Frazier, Adam",624428,2023,31,0.396,0.156,0.258
"Kelly, Carson",608348,2023,28,0.287,0.081,0.274
"Gallagher, Cam",595956,2023,30,0.168,0.042,0.184
"Cruz Jr., Nelson",443558,2023,42,0.399,0.154,0.323
"Clemens, Kody",665019,2023,27,0.367,0.137,0.295
"Adams, Riley",656180,2023,27,0.476,0.203,0.368
"Raleigh, Cal",663728,2023,26,0.456,0.224,0.273
"McKinstry, Zach",656716,2023,28,0.351,0.12,0.284
"Winn, Masyn",691026,2023,21,0.238,0.066,0.196
"Odor, Rougned",596059,2023,29,0.355,0.152,0.247
"Remillard, Zach",621545,2023,29,0.32,0.068,0.367
"Mastrobuoni, Miles",670156,2023,27,0.301,0.06,0.31
"McMahon, Ryan",641857,2023,28,0.431,0.191,0.326
"Stewart, DJ",621466,2023,29,0.506,0.262,0.298
"Canha, Mark",592192,2023,34,0.4,0.138,0.293
"Jim?nez, Eloy",650391,2023,26,0.441,0.169,0.305
"Tapia, Raimel",606132,2023,29,0.338,0.102,0.302
"Cronenworth, Jake",630105,2023,29,0.378,0.149,0.267
"Soler, Jorge",624585,2023,31,0.512,0.262,0.272
"Melendez Jr., MJ",669004,2023,24,0.398,0.163,0.311
"Larnach, Trevor",663616,2023,26,0.415,0.202,0.295
"Rojas, Johan",679032,2023,22,0.43,0.128,0.41
"Mej?a, Francisco",642336,2023,27,0.4,0.173,0.266
"Winker, Jesse",608385,2023,29,0.247,0.048,0.278
"Anderson, Tim",641313,2023,30,0.296,0.051,0.323
"Schwarber, Kyle",656941,2023,30,0.474,0.277,0.209
"Hern?ndez, Enrique",571771,2023,31,0.357,0.12,0.273
"Profar, Jurickson",595777,2023,30,0.368,0.126,0.279
"Triolo, Jared",669707,2023,25,0.398,0.1,0.44
"Alu, Jake",666906,2023,26,0.289,0.063,0.291
"Robert Jr., Luis",673357,2023,25,0.542,0.278,0.314
"Rendon, Anthony",543685,2023,33,0.318,0.082,0.268
"Candelario, Jeimer",600869,2023,29,0.471,0.22,0.292
"Gonzalez, Oscar",660757,2023,25,0.312,0.098,0.278
"Sosa, Lenyn",672820,2023,23,0.348,0.147,0.227
"Correa, Carlos",621043,2023,28,0.399,0.169,0.272
"Garc?a, Adolis",666969,2023,30,0.508,0.263,0.28
"Maile, Luke",571912,2023,32,0.391,0.156,0.29
"Cave, Jake",595909,2023,30,0.348,0.136,0.27
"P?rez, Carlos",542208,2023,32,0.357,0.131,0.256
"O'Hoppe, Logan",681351,2023,23,0.5,0.264,0.24
"Naylor, Josh",647304,2023,26,0.489,0.181,0.326
"Suzuki, Seiya",673548,2023,28,0.485,0.2,0.341
"Barnes, Austin",605131,2023,33,0.242,0.062,0.222
"Ford, Mike",645801,2023,30,0.475,0.247,0.276
"Su?rez, Eugenio",553993,2023,31,0.391,0.159,0.314
"Gallo, Joey",608336,2023,29,0.44,0.263,0.244
"Canzone, Dominic",686527,2023,25,0.399,0.179,0.237
"Ozuna, Marcell",542303,2023,32,0.558,0.284,0.293
"Smith, Josh",669701,2023,25,0.328,0.143,0.222
"Campusano, Luis",669134,2023,24,0.491,0.172,0.331
"Arozarena, Randy",668227,2023,28,0.425,0.171,0.31
"Taveras, Leody",665750,2023,24,0.421,0.155,0.318
"Ahmed, Nick",605113,2023,33,0.303,0.091,0.278
"Edman, Tommy",669242,2023,28,0.399,0.151,0.275
"Haniger, Mitch",571745,2023,32,0.365,0.156,0.27
"Pillar, Kevin",607680,2023,34,0.416,0.188,0.255
"Bauers, Jake",641343,2023,27,0.413,0.211,0.268
"Reyes, Pablo",622569,2023,29,0.377,0.09,0.315
"Harris II, Michael",671739,2023,22,0.477,0.184,0.334
"Encarnacion-Strand, Christian",687952,2023,23,0.477,0.207,0.336
"Arroyo, Christian",624414,2023,28,0.369,0.128,0.295
"Friedl Jr., TJ",670770,2023,27,0.467,0.188,0.308
"Duffy, Matt",622110,2023,32,0.325,0.074,0.303
"McCann, James",543510,2023,33,0.377,0.155,0.274
"Fairchild, Stuart",656413,2023,27,0.388,0.16,0.306
"Yelich, Christian",592885,2023,31,0.447,0.169,0.342
"Perez, Salvador",521692,2023,33,0.422,0.167,0.294
"Garrett, Stone",656448,2023,27,0.457,0.188,0.365
"Refsnyder, Rob",608701,2023,32,0.317,0.069,0.316
"Frelick, Sal",686217,2023,23,0.351,0.105,0.286
"Swanson, Dansby",621020,2023,29,0.416,0.172,0.297
"Crawford, J.P.",641487,2023,28,0.438,0.172,0.314
"Caratini, Victor",605170,2023,29,0.383,0.124,0.296
"Trejo, Alan",676701,2023,27,0.343,0.111,0.286
"Abreu, Jos?",547989,2023,36,0.383,0.146,0.276
"Contreras, William",661388,2023,25,0.457,0.168,0.348
"Tovar, Ezequiel",678662,2023,21,0.408,0.155,0.328
"Hern?ndez, Teoscar",606192,2023,30,0.435,0.177,0.342
"Kim, Ha-Seong",673490,2023,27,0.398,0.138,0.306
"Caballero, Jos?",676609,2023,26,0.32,0.099,0.285
"Marcano, Tucupita",672779,2023,23,0.356,0.123,0.265
"Pratto, Nick",668472,2023,24,0.353,0.121,0.388
"Wong, Kolten",543939,2023,32,0.263,0.08,0.218
"S?nchez, Gary",596142,2023,30,0.492,0.275,0.212
"Taylor, Tyrone",621438,2023,29,0.446,0.212,0.263
"Col?s, Oscar",693049,2023,24,0.314,0.098,0.281
"Maton, Nick",665155,2023,26,0.305,0.132,0.206
"Urshela, Gio",570482,2023,31,0.374,0.075,0.346
"Smith, Dominic",642086,2023,28,0.366,0.112,0.286
"Torkelson, Spencer",679529,2023,23,0.446,0.213,0.269
"Machado, Manny",592518,2023,30,0.462,0.204,0.268
"De La Cruz, Bryan",650559,2023,26,0.411,0.154,0.307
"Bleday, JJ",668709,2023,25,0.355,0.16,0.226
"Olson, Matt",621566,2023,29,0.604,0.321,0.302
"Steer, Spencer",668715,2023,25,0.464,0.193,0.318
"Castellanos, Nick",592206,2023,31,0.476,0.204,0.337
"Schmitt, Casey",669477,2023,24,0.324,0.118,0.253
"Santana, Carlos",467793,2023,37,0.429,0.189,0.255
"Gurriel Jr., Lourdes",666971,2023,29,0.463,0.202,0.282
"Cron, C.J.",543068,2023,33,0.434,0.186,0.284
"Castro, Harold",605612,2023,29,0.314,0.062,0.332
"Haase, Eric",606992,2023,30,0.281,0.08,0.268
"Nimmo, Brandon",607043,2023,30,0.466,0.192,0.324
"Turner, Justin",457759,2023,38,0.455,0.179,0.304
"Jeffers, Ryan",680777,2023,26,0.49,0.214,0.359
"Vargas, Miguel",678246,2023,23,0.367,0.172,0.224
"Hicks, Aaron",543305,2023,33,0.383,0.13,0.311
"Pasquantino, Vinnie",686469,2023,25,0.437,0.19,0.25
"Verdugo, Alex",657077,2023,27,0.421,0.157,0.294
"Arias, Gabriel",672356,2023,23,0.352,0.142,0.29
"Thomas, Lane",657041,2023,27,0.468,0.2,0.325
"Diaz, Jordan",672478,2023,22,0.364,0.143,0.258
"Jansen, Danny",643376,2023,28,0.474,0.246,0.233
"Jankowski, Travis",608671,2023,32,0.332,0.069,0.311
"Sosa, Edmundo",624641,2023,27,0.427,0.176,0.306
"Ruiz, Keibert",660688,2023,24,0.409,0.149,0.263
"Walls, Taylor",670764,2023,26,0.333,0.132,0.261
"Siri, Jose",642350,2023,27,0.494,0.272,0.269
"Escobar, Eduardo",500871,2023,34,0.344,0.118,0.286
"Anderson, Brian",605119,2023,30,0.368,0.142,0.309
"Garver, Mitch",641598,2023,32,0.5,0.23,0.313
"Julien, Edouard",666397,2023,24,0.459,0.196,0.371
"Duvall, Adam",594807,2023,34,0.531,0.284,0.299
"McCarthy, Jake",664983,2023,25,0.326,0.083,0.305
"Riley, Austin",663586,2023,26,0.516,0.235,0.324
"Benintendi, Andrew",643217,2023,28,0.356,0.094,0.301
"Meyers, Jake",676694,2023,27,0.382,0.155,0.283
"Baddoo, Akil",668731,2023,24,0.372,0.154,0.268
"Betts, Mookie",605141,2023,30,0.579,0.272,0.316
"Moncada, Yo?n",660162,2023,28,0.425,0.165,0.35
"Senzel, Nick",669222,2023,28,0.399,0.163,0.269
"Bailey, Patrick",672275,2023,24,0.359,0.126,0.314
"Cabrera, Oswaldo",665828,2023,24,0.299,0.088,0.26
"Yastrzemski, Mike",573262,2023,32,0.445,0.212,0.286
"Isbel, Kyle",664728,2023,26,0.38,0.14,0.283
"Turner, Trea",607208,2023,30,0.459,0.193,0.31
"Maldonado, Mart?n",455117,2023,36,0.348,0.157,0.26
"Springer III, George",543807,2023,33,0.405,0.147,0.291
"Wendle, Joey",621563,2023,33,0.306,0.094,0.264
"Rutschman, Adley",668939,2023,25,0.435,0.158,0.303
"Noda, Ryan",676116,2023,27,0.406,0.177,0.347
"Rojas, Josh",668942,2023,29,0.338,0.093,0.313
"Fortes, Nick",663743,2023,26,0.299,0.095,0.234
"Jones, Nolan",666134,2023,25,0.542,0.245,0.401
"Kelenic, Jarred",672284,2023,23,0.419,0.166,0.359
"Duran, Jarren",680776,2023,26,0.482,0.187,0.381
"Mateo, Jorge",622761,2023,28,0.34,0.123,0.267
"Vargas, Ildemaro",545121,2023,31,0.363,0.111,0.259
"De La Cruz, Elly",682829,2023,21,0.41,0.175,0.336
"Bae, Ji Hwan",678225,2023,23,0.311,0.08,0.31
"McLain, Matt",680574,2023,23,0.507,0.217,0.385
"Guerrero Jr., Vladimir",665489,2023,24,0.444,0.18,0.277
"Wiemer Jr., Joey",686894,2023,24,0.362,0.158,0.258
"Doyle, Brenton",686668,2023,25,0.343,0.14,0.295
"D?az, Aledmys",649557,2023,32,0.337,0.108,0.273
"Tauchman, Mike",643565,2023,32,0.377,0.125,0.313
"Segura, Jean",516416,2023,33,0.279,0.06,0.251
